"date (YYYY-MM-DD)","date ((D)DMMYYYY)"
"0011-10-01","01100011"
"0012-10-02","02100012"
"0013-10-03","03100013"
"0014-10-04","04100014"
"0015-10-05","05100015"
"0016-10-06","06100016"
"0017-10-07","07100017"
"0018-10-08","08100018"
"0019-10-09","09100019"
"0101-01-01","01010101"
"0101-10-10","10100101"
"0102-01-02","02010102"
"0102-10-20","20100102"
"0103-01-03","03010103"
"0103-10-30","30100103"
"0104-01-04","04010104"
"0105-01-05","05010105"
"0106-01-06","06010106"
"0107-01-07","07010107"
"0108-01-08","08010108"
"0109-01-09","09010109"
"0110-10-01","01100110"
"0111-10-11","11100111"
"0111-11-01","01110111"
"0112-10-21","21100112"
"0112-11-02","02110112"
"0113-10-31","31100113"
"0113-11-03","03110113"
"0114-11-04","04110114"
"0115-11-05","05110115"
"0116-11-06","06110116"
"0117-11-07","07110117"
"0118-11-08","08110118"
"0119-11-09","09110119"
"0120-10-02","02100120"
"0121-10-12","12100121"
"0122-10-22","22100122"
"0130-10-03","03100130"
"0131-10-13","13100131"
"0132-10-23","23100132"
"0140-10-04","04100140"
"0141-10-14","14100141"
"0142-10-24","24100142"
"0150-10-05","05100150"
"0151-10-15","15100151"
"0152-10-25","25100152"
"0160-10-06","06100160"
"0161-10-16","16100161"
"0162-10-26","26100162"
"0170-10-07","07100170"
"0171-10-17","17100171"
"0172-10-27","27100172"
"0180-10-08","08100180"
"0181-10-18","18100181"
"0182-10-28","28100182"
"0190-10-09","09100190"
"0191-10-19","19100191"
"0192-10-29","29100192"
"0201-02-01","01020201"
"0202-02-02","02020202"
"0203-02-03","03020203"
"0204-02-04","04020204"
"0205-02-05","05020205"
"0206-02-06","06020206"
"0207-02-07","07020207"
"0208-02-08","08020208"
"0209-02-09","09020209"
"0211-12-01","01120211"
"0212-12-02","02120212"
"0213-12-03","03120213"
"0214-12-04","04120214"
"0215-12-05","05120215"
"0216-12-06","06120216"
"0217-12-07","07120217"
"0218-12-08","08120218"
"0219-12-09","09120219"
"0301-03-01","01030301"
"0302-03-02","02030302"
